,date,car_model,brand,units_sold,price,total_sales
313,2025-01-01,City,Honda,9.0,1100000.0,9900000.0
314,2025-01-02,XUV700,Mahindra,21.0,2000000.0,42000000.0
315,2025-01-06,Slavia,Skoda,17.0,1350000.0,22950000.0
316,2025-01-06,Baleno,Maruti,21.0,700000.0,14700000.0
317,2025-01-08,Amaze,Honda,7.0,800000.0,5600000.0
318,2025-01-17,Safari,Tata,21.0,1800000.0,37800000.0
319,2025-01-19,Kushaq,Skoda,25.0,1300000.0,32500000.0
320,2025-01-24,Venue,Hyundai,25.0,950000.0,23750000.0
321,2025-01-25,Safari,Tata,1000.0,1800000.0,1800000000.0
322,2025-01-25,Slavia,Skoda,5.0,1350000.0,6750000.0
323,2025-01-27,Punch,Tata,23.0,600000.0,13800000.0
324,2025-01-30,Verna,Hyundai,20.0,1100000.0,22000000.0
325,2025-02-03,Verna,Hyundai,8.0,1100000.0,8800000.0
326,2025-02-05,Kushaq,Skoda,11.0,1300000.0,14300000.0
327,2025-02-06,Venue,Hyundai,22.0,950000.0,20900000.0
328,2025-02-07,Harrier,Tata,24.0,1700000.0,40800000.0
329,2025-02-08,Thar,Mahindra,12.0,1500000.0,18000000.0
330,2025-02-14,Creta,Hyundai,11.0,1200000.0,13200000.0
331,2025-02-16,Venue,Hyundai,5.0,950000.0,4750000.0
332,2025-02-16,Seltos,Kia,15.0,1250000.0,18750000.0
333,2025-02-16,Venue,Hyundai,24.0,950000.0,22800000.0
334,2025-02-16,Venue,Hyundai,11.0,950000.0,10450000.0
335,2025-02-23,Kushaq,Skoda,8.0,1300000.0,10400000.0
336,2025-02-25,Creta,Hyundai,19.0,1200000.0,22800000.0
337,2025-02-26,Brezza,Maruti,8.0,850000.0,6800000.0
338,2025-03-01,City,Honda,13.0,1100000.0,14300000.0
339,2025-03-01,Baleno,Maruti,20.0,700000.0,14000000.0
340,2025-03-07,Amaze,Honda,23.0,800000.0,18400000.0
341,2025-03-11,Seltos,Kia,15.0,1250000.0,18750000.0
342,2025-03-13,Swift,Maruti,,,
343,2025-03-15,Thar,Mahindra,13.0,1500000.0,19500000.0
344,2025-03-15,Nexon,Tata,13.0,800000.0,10400000.0
345,2025-03-16,Punch,Tata,20.0,600000.0,12000000.0
346,2025-03-16,Kushaq,Skoda,15.0,1300000.0,19500000.0
347,2025-03-16,Punch,Tata,24.0,600000.0,14400000.0
348,2025-03-17,XUV700,Mahindra,10.0,2000000.0,20000000.0
349,2025-03-23,Verna,Hyundai,14.0,1100000.0,15400000.0
350,2025-03-23,Brezza,Maruti,14.0,850000.0,11900000.0
351,2025-03-26,Slavia,Skoda,20.0,1350000.0,27000000.0
352,2025-03-27,Brezza,Maruti,17.0,850000.0,14450000.0
353,2025-03-27,Swift,Maruti,23.0,650000.0,14950000.0
354,2025-03-28,Verna,Hyundai,17.0,1100000.0,18700000.0
355,2025-03-30,Punch,Tata,15.0,600000.0,9000000.0
356,2025-03-30,Sonet,Kia,,900000.0,
357,2025-04-01,City,Honda,8.0,1100000.0,8800000.0
358,2025-04-03,Thar,Mahindra,17.0,1500000.0,25500000.0
359,2025-04-04,Brezza,Maruti,25.0,,
360,2025-04-07,Kushaq,Skoda,6.0,1300000.0,7800000.0
361,2025-04-07,Thar,Mahindra,25.0,1500000.0,37500000.0
362,2025-04-07,Slavia,Skoda,14.0,1350000.0,18900000.0
363,2025-04-09,Safari,Tata,17.0,1800000.0,30600000.0
364,2025-04-11,Swift,Maruti,18.0,650000.0,11700000.0
365,2025-04-13,Creta,Hyundai,19.0,1200000.0,22800000.0
366,2025-04-15,Sonet,Kia,17.0,900000.0,15300000.0
367,2025-04-17,Harrier,Tata,18.0,1700000.0,30600000.0
368,2025-04-17,City,Honda,17.0,1100000.0,18700000.0
369,2025-04-18,Harrier,Tata,13.0,1700000.0,22100000.0
370,2025-04-18,City,Honda,20.0,1100000.0,22000000.0
371,2025-04-24,Creta,Hyundai,24.0,1200000.0,28800000.0
372,2025-04-25,Harrier,Tata,24.0,1700000.0,40800000.0
373,2025-04-26,Creta,Hyundai,19.0,1200000.0,22800000.0
374,2025-04-28,Sonet,Kia,16.0,900000.0,14400000.0
375,2025-04-29,Swift,Maruti,,650000.0,
376,2025-05-02,XUV700,Mahindra,23.0,2000000.0,46000000.0
377,2025-05-02,Kushaq,Skoda,23.0,1300000.0,29900000.0
378,2025-05-02,Seltos,Kia,14.0,1250000.0,17500000.0
379,2025-05-04,Brezza,Maruti,6.0,850000.0,5100000.0
380,2025-05-05,Baleno,Maruti,6.0,700000.0,4200000.0
381,2025-05-06,Verna,Hyundai,23.0,1100000.0,25300000.0
382,2025-05-07,Punch,Tata,11.0,600000.0,6600000.0
383,2025-05-07,City,Honda,15.0,1100000.0,16500000.0
384,2025-05-13,Amaze,Honda,8.0,800000.0,6400000.0
385,2025-05-15,Nexon,Tata,23.0,800000.0,18400000.0
386,2025-05-17,Amaze,Honda,11.0,,
387,2025-05-24,Safari,Tata,21.0,1800000.0,37800000.0
388,2025-05-24,Sonet,Kia,21.0,900000.0,18900000.0
389,2025-05-31,Thar,Mahindra,6.0,1500000.0,9000000.0
390,2025-06-02,Brezza,Maruti,22.0,850000.0,18700000.0
391,2025-06-05,Harrier,Tata,14.0,1700000.0,23800000.0
392,2025-06-07,Verna,Hyundai,5.0,1100000.0,5500000.0
393,2025-06-08,Punch,Tata,21.0,600000.0,12600000.0
394,2025-06-11,Kushaq,Skoda,13.0,1300000.0,16900000.0
395,2025-06-11,XUV700,Mahindra,11.0,2000000.0,22000000.0
396,2025-06-13,Sonet,Kia,16.0,900000.0,14400000.0
397,2025-06-15,Safari,Tata,16.0,1800000.0,28800000.0
398,2025-06-16,Creta,Hyundai,8.0,1200000.0,9600000.0
399,2025-06-16,Baleno,Maruti,8.0,700000.0,5600000.0
400,2025-06-17,Swift,Maruti,21.0,650000.0,13650000.0
401,2025-06-23,Safari,Tata,23.0,1800000.0,41400000.0
402,2025-06-24,XUV700,Mahindra,13.0,2000000.0,26000000.0
403,2025-07-02,City,Honda,21.0,1100000.0,23100000.0
404,2025-07-03,Slavia,Skoda,7.0,1350000.0,9450000.0
405,2025-07-03,Verna,Hyundai,21.0,1100000.0,23100000.0
406,2025-07-04,Safari,Tata,13.0,1800000.0,23400000.0
407,2025-07-04,Safari,Tata,5.0,1800000.0,9000000.0
408,2025-07-05,Slavia,Skoda,5.0,1350000.0,6750000.0
409,2025-07-06,Thar,Mahindra,6.0,,
410,2025-07-07,Venue,Hyundai,20.0,950000.0,19000000.0
411,2025-07-08,Seltos,Kia,7.0,1250000.0,8750000.0
412,2025-07-13,Kushaq,Skoda,16.0,1300000.0,20800000.0
413,2025-07-17,Verna,Hyundai,20.0,1100000.0,22000000.0
414,2025-07-21,Punch,Tata,22.0,600000.0,13200000.0
415,2025-07-26,Verna,Hyundai,9.0,1100000.0,9900000.0
416,2025-07-28,Brezza,Maruti,14.0,850000.0,11900000.0
417,2025-07-30,XUV700,Mahindra,9.0,2000000.0,18000000.0
418,2025-07-30,Nexon,Tata,17.0,800000.0,13600000.0
419,2025-08-05,Seltos,Kia,25.0,1250000.0,31250000.0
420,2025-08-05,Thar,Mahindra,12.0,1500000.0,18000000.0
421,2025-08-06,City,Honda,7.0,1100000.0,7700000.0
422,2025-08-06,Baleno,Maruti,,700000.0,
423,2025-08-08,Safari,Tata,21.0,1800000.0,37800000.0
424,2025-08-09,Baleno,Maruti,19.0,700000.0,13300000.0
425,2025-08-12,Safari,Tata,8.0,1800000.0,14400000.0
426,2025-08-16,Creta,Hyundai,7.0,1200000.0,8400000.0
427,2025-08-19,City,Honda,6.0,,
428,2025-08-22,Swift,Maruti,11.0,650000.0,7150000.0
429,2025-08-23,City,Honda,12.0,1100000.0,13200000.0
430,2025-08-23,Venue,Hyundai,8.0,950000.0,7600000.0
431,2025-08-30,Baleno,Maruti,8.0,700000.0,5600000.0
